App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
6015907,HDR,12/27/2022,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022450,HDR,03/11/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6017597,HDR,01/17/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6016639,HDR,01/05/2023,Denied,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6019868,HDR,02/13/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023356,HDR,03/20/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6020294,HDR,02/16/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6020795,HDR,02/23/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021113,HDR,02/27/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6020048,HDR,02/14/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024190,HDR,03/29/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6020666,HDR,02/21/2023,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6019467,HDR,02/07/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6025274,HDR,04/07/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023900,HDR,03/27/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022855,HDR,03/15/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,04/10/2023 05:00:04 PM
6015569,HDR,12/22/2022,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6025553,HDR,04/10/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6020562,HDR,02/20/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6021943,HDR,03/07/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6025043,HDR,04/05/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6019620,HDR,02/09/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Not Applicable,04/10/2023 05:00:04 PM
6023986,HDR,03/27/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023943,HDR,03/27/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023235,HDR,03/19/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6024170,HDR,03/29/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6018845,HDR,01/31/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6017366,HDR,01/14/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6021073,HDR,02/26/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6018228,HDR,01/24/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020784,HDR,02/22/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6025404,HDR,04/08/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6018335,HDR,01/25/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020119,HDR,02/15/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,04/10/2023 05:00:04 PM
6022498,HDR,03/12/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6022735,HDR,03/14/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023293,HDR,03/20/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020431,HDR,02/18/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023360,HDR,03/20/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6018564,HDR,01/27/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6022432,HDR,03/11/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6017659,HDR,01/18/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,"Fingerprints, copy of DMV lic, other. Visit www.nyc.gov/tlcup",04/10/2023 05:00:04 PM
6019547,HDR,02/08/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023327,HDR,03/20/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021246,HDR,02/27/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6024291,HDR,03/29/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021714,HDR,03/04/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Not Applicable,04/10/2023 05:00:04 PM
6021572,HDR,03/02/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6019568,HDR,02/08/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6021535,HDR,03/02/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6022583,HDR,03/13/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6018777,HDR,01/30/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024302,HDR,03/29/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6019532,HDR,02/08/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020614,HDR,02/21/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020321,HDR,02/17/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6024814,HDR,04/03/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6020480,HDR,02/19/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021046,HDR,02/25/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024135,HDR,03/28/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021066,HDR,02/26/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Copy of DMV license needed,04/10/2023 05:00:04 PM
6016597,HDR,01/05/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6022884,HDR,03/15/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6022726,HDR,03/14/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
5979497,HDR,08/31/2021,Pending Fitness Interview,08/15/2022,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022168,HDR,03/09/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6018664,HDR,01/28/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024601,HDR,04/01/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,04/10/2023 05:00:04 PM
6019940,HDR,02/13/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023120,HDR,03/17/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6016596,HDR,01/05/2023,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024744,HDR,04/03/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024622,HDR,04/02/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023179,HDR,03/18/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6018853,HDR,01/31/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,04/10/2023 05:00:04 PM
6018452,HDR,01/26/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023124,HDR,03/17/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6024518,HDR,03/31/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6017985,HDR,01/21/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6020561,HDR,02/20/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6025035,HDR,04/05/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6021237,HDR,02/27/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024145,HDR,03/28/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022931,HDR,03/16/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024965,HDR,04/05/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6016554,HDR,01/05/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024918,HDR,04/04/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024797,HDR,04/03/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6019904,HDR,02/13/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6023096,HDR,03/17/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6025391,HDR,04/08/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6018500,HDR,01/26/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6020920,HDR,02/24/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6022199,HDR,03/09/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6024129,HDR,03/28/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6024031,HDR,03/28/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6022694,HDR,03/14/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6024829,HDR,04/03/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6016403,HDR,01/04/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023721,HDR,03/24/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024253,HDR,03/29/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6025195,HDR,04/06/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,04/10/2023 05:00:04 PM
6021011,HDR,02/25/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6014563,VDR,12/10/2022,Denied,Not Applicable,Not Applicable,Not Applicable,Needed,Not Applicable,Not Applicable,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,04/10/2023 05:00:04 PM
6023544,HDR,03/22/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6020781,HDR,02/22/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022329,HDR,03/10/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6025335,HDR,04/07/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6022991,HDR,03/16/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,04/10/2023 05:00:04 PM
6025386,HDR,04/08/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6021931,HDR,03/06/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6024121,HDR,03/28/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6025203,HDR,04/06/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6015783,HDR,12/26/2022,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6022400,HDR,03/11/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6018550,HDR,01/27/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021112,HDR,02/27/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6025546,HDR,04/10/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
6024393,HDR,03/30/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6021624,HDR,03/03/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6023674,HDR,03/23/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6017038,HDR,01/10/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,04/10/2023 05:00:04 PM
6022067,HDR,03/07/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6021933,HDR,03/07/2023,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6023708,HDR,03/24/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6020251,HDR,02/16/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022509,HDR,03/13/2023,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6025127,HDR,04/05/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6022955,HDR,03/16/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Complete,Copy of DMV license needed,04/10/2023 05:00:04 PM
6022210,HDR,03/09/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6024368,HDR,03/30/2023,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed,04/10/2023 05:00:04 PM
6018565,HDR,01/27/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6019381,HDR,02/06/2023,Pending Fitness Interview,03/17/2023,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024594,HDR,04/01/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,04/10/2023 05:00:04 PM
6020465,HDR,02/19/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023950,HDR,03/27/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6022704,HDR,03/14/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6020263,HDR,02/16/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6022519,HDR,03/13/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6024119,HDR,03/28/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6022908,HDR,03/16/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6018875,HDR,01/31/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022019,HDR,03/07/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6019918,HDR,02/13/2023,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,04/10/2023 05:00:04 PM
6022944,HDR,03/16/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023000,HDR,03/16/2023,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable,04/10/2023 05:00:04 PM
6018827,HDR,01/31/2023,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023831,HDR,03/25/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6023654,HDR,03/23/2023,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,04/10/2023 05:00:04 PM
6023974,HDR,03/27/2023,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,04/10/2023 05:00:04 PM
6025220,HDR,04/06/2023,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,04/10/2023 05:00:04 PM
